 n_tokens_title, n_tokens_content, n_unique_tokens, n_non_stop_words, n_non_stop_unique_tokens, num_hrefs, num_self_hrefs, num_imgs, num_videos, average_token_length, num_keywords, kw_min_min, kw_max_min, kw_avg_min, kw_min_max, kw_max_max, kw_avg_max, kw_min_avg, kw_max_avg, kw_avg_avg, self_reference_min_shares, self_reference_max_shares, self_reference_avg_sharess, LDA_00, LDA_01, LDA_02, LDA_03, LDA_04, global_subjectivity, global_sentiment_polarity, global_rate_positive_words, global_rate_negative_words, rate_positive_words, rate_negative_words, avg_positive_polarity, min_positive_polarity, max_positive_polarity, avg_negative_polarity, min_negative_polarity, max_negative_polarity, title_subjectivity, title_sentiment_polarity, abs_title_subjectivity, abs_title_sentiment_polarity,target
14,290,0.611510789,0.999999994,0.761904757,0,0,14,0,4.068965517,9,0,0,0,0,0,0,0,0,0,0,0,0,0.022244801,0.306856236,0.022231033,0.022224163,0.626443767,0.57190673,0.318121802,0.062068966,0.010344828,0.857142857,0.142857143,0.438908129,0.136363636,1,-0.177777778,-0.4,-0.008333333,0,0,0.5,0,L
10,597,0.531732418,0.999999997,0.704109587,5,0,1,0,4.343383585,6,0,0,0,0,0,0,0,0,0,0,0,0,0.033338584,0.183534077,0.269926034,0.47962892,0.033572385,0.467187049,0.242947781,0.043551089,0.005025126,0.896551724,0.103448276,0.419438894,0.05,1,-0.229166667,-0.4,-0.1,1,1,0.5,1,L
11,315,0.55128205,0.999999994,0.702247187,4,4,1,0,4.380952381,10,0,0,0,0,0,0,0,0,0,6200,6200,6200,0.020087068,0.020631283,0.020516734,0.120752883,0.818012032,0.553519571,0.176594066,0.034920635,0.012698413,0.733333333,0.266666667,0.400550964,0.136363636,0.5,-0.320138889,-0.5,-0.125,0.55,0.35,0.05,0.35,L
10,1244,0.41754671,0.999999999,0.562579013,27,22,20,0,4.752411576,10,0,0,0,0,0,0,0,0,0,545,18200,3713.136364,0.020007914,0.114984074,0.020003875,0.020002091,0.825002045,0.511652568,0.276975456,0.067524116,0.015273312,0.815533981,0.184466019,0.421472119,0.033333333,1,-0.230263158,-0.6,-0.05,1,-0.6,0.5,0.6,H
11,799,0.504391467,0.999999998,0.738041001,8,6,1,0,4.695869837,6,0,0,0,0,0,0,0,0,0,101,2600,972.4,0.033335242,0.03349789,0.866461302,0.033334378,0.033371189,0.42003367,0.12288961,0.037546934,0.020025031,0.652173913,0.347826087,0.39452381,0.1,0.7,-0.2328125,-0.6,-0.05,0,0,0.5,0,L
6,174,0.691860461,0.99999999,0.902912613,0,0,1,0,4.798850575,8,0,0,0,0,0,0,0,0,0,0,0,0,0.025000339,0.025163038,0.025000395,0.025000076,0.899836153,0.588636364,0.159090909,0.017241379,0,1,0,0.412121212,0.136363636,0.6,0,0,0,0,0,0.5,0,L
10,142,0.654676254,0.999999987,0.792207782,2,1,1,0,4.274647887,5,0,0,0,0,0,0,0,0,0,0,0,0,0.440711326,0.04000262,0.239288686,0.239990548,0.040006819,0.442857143,0.114285714,0.021126761,0.007042254,0.75,0.25,0.366666667,0.2,0.5,-0.3,-0.3,-0.3,0,0,0.5,0,L
10,1190,0.408703071,0.999999999,0.561475409,25,24,20,0,4.620168067,8,0,0,0,0,0,0,0,0,0,545,16000,3151.157895,0.025049714,0.159500187,0.025015098,0.025013837,0.765421165,0.506584209,0.24357617,0.063865546,0.01512605,0.808510638,0.191489362,0.403010936,0.033333333,1,-0.236111111,-0.5,-0.05,0,0,0.5,0,L
9,944,0.433011789,0.999999998,0.565789473,21,21,20,0,4.706567797,8,0,0,0,0,0,0,0,0,0,545,16000,3151.157895,0.025000899,0.47968521,0.025001029,0.025000599,0.445312263,0.52090368,0.279677056,0.082627119,0.018008475,0.821052632,0.178947368,0.413517594,0.05,1,-0.204901961,-0.5,-0.05,0.642857143,0.214285714,0.142857143,0.214285714,L
9,1030,0.422244094,0.999999998,0.563076922,21,21,20,0,4.700970874,9,0,0,0,0,0,0,0,0,0,545,16000,3078.6,0.022222915,0.416333775,0.02222296,0.022222725,0.516997624,0.505898268,0.266416747,0.076699029,0.017475728,0.81443299,0.18556701,0.426237602,0.1,1,-0.231547619,-0.7,-0.05,0,0,0.5,0,L
9,280,0.576642334,0.999999994,0.685082869,5,5,10,1,4.4,6,0,0,0,0,0,0,0,0,0,1200,8700,3733.333333,0.033333623,0.244221673,0.033334002,0.033333516,0.655777186,0.490943267,0.143688767,0.05,0.010714286,0.823529412,0.176470588,0.257251082,0.1,0.5,-0.29047619,-0.4,-0.071428571,0.5,0.136363636,0,0.136363636,L
13,1024,0.428007889,0.999999998,0.557750759,19,19,19,0,4.778320313,10,0,0,0,0,0,0,0,0,0,545,16000,3151.157895,0.02001597,0.121858022,0.020006236,0.020001388,0.818118384,0.535241458,0.290063884,0.08203125,0.014648438,0.848484848,0.151515152,0.410137858,0.1,1,-0.219444444,-0.5,-0.05,0,0,0.5,0,L
9,1070,0.421550094,0.999999999,0.55122655,22,20,20,0,4.655140187,7,0,0,0,0,0,0,0,0,0,545,16000,3151.157895,0.028577258,0.386917807,0.02857541,0.028575263,0.527354262,0.513514364,0.270670602,0.075700935,0.012149533,0.861702128,0.138297872,0.412062958,0.1,1,-0.215384615,-0.5,-0.05,0.333333333,0.25,0.166666667,0.25,L
12,463,0.504347825,0.999999996,0.631578945,1,1,4,0,4.362850972,9,0,0,0,0,0,0,0,0,0,0,0,0,0.02223351,0.416822228,0.022226892,0.022333312,0.516384059,0.402304293,0.113167839,0.062634989,0.017278618,0.783783784,0.216216216,0.222137632,0.033333333,0.5,-0.189409722,-0.4,-0.125,0.066666667,0.033333333,0.433333333,0.033333333,L
11,1005,0.431726907,0.999999998,0.556748465,21,21,20,0,4.655721393,9,0,0,0,0,0,0,0,0,0,545,16000,3151.157895,0.022223301,0.282943913,0.022223078,0.022222921,0.650386787,0.509792164,0.273728465,0.075621891,0.014925373,0.835164835,0.164835165,0.408075302,0.1,1,-0.215,-0.5,-0.05,0,0,0.5,0,L
7,251,0.615702477,0.999999994,0.71341463,1,1,1,1,4.80876494,9,0,0,0,0,0,0,0,0,0,0,0,0,0.022422714,0.417899307,0.022363715,0.022226628,0.515087637,0.462730756,-0.034648206,0.027888446,0.059760956,0.318181818,0.681818182,0.178917749,0.1,0.333333333,-0.150925926,-0.4,-0.05,0.375,-0.0625,0.125,0.0625,L
9,443,0.46712018,0.999999996,0.588679243,3,1,1,0,5.013544018,6,0,0,0,0,0,0,0,0,0,0,0,0,0.033338179,0.033337825,0.702038878,0.197948153,0.033336965,0.419907407,0.066666667,0.038374718,0.022573363,0.62962963,0.37037037,0.335294118,0.1,0.5,-0.28,-0.4,-0.2,0,0,0.5,0,L
6,374,0.640540539,0.999999995,0.828054295,7,0,1,0,4.909090909,8,0,0,0,0,0,0,0,0,0,0,0,0,0.206645981,0.146094706,0.276025438,0.025050169,0.346183705,0.398739496,0.121796218,0.037433155,0.018716578,0.666666667,0.333333333,0.360969388,0.1,0.8,-0.130357143,-0.2,-0.05,0,0,0.5,0,L
5,356,0.618233616,0.999999996,0.766233763,3,3,12,1,4.471910112,10,0,0,0,0,0,0,0,0,0,1700,2500,2100,0.45649731,0.482185457,0.020016939,0.021296479,0.020003816,0.435975299,0.176737968,0.061797753,0.014044944,0.814814815,0.185185185,0.359417552,0.033333333,1,-0.372619048,-0.7,-0.071428571,0.454545455,0.136363636,0.045454545,0.136363636,L
10,414,0.606796115,0.999999996,0.777343747,8,0,1,0,4.980676329,6,217,504,408.3333333,0,17100,3516.666667,0,2019.346154,728.2303114,0,0,0,0.033333839,0.03333348,0.700025925,0.199971649,0.033335108,0.343411291,0.0101736,0.028985507,0.038647343,0.428571429,0.571428571,0.299597763,0.1,0.5,-0.176128472,-0.7,-0.05,0.3,0.2,0.2,0.2,L
12,1011,0.413897281,0.999999998,0.546325878,20,20,20,0,4.582591494,7,217,343,238,0,17100,13314.28571,0,2318.47619,1645.533414,545,16000,3151.157895,0.028651326,0.193161072,0.028572101,0.028571623,0.721043879,0.509571786,0.293015129,0.076162216,0.011869436,0.865168539,0.134831461,0.41949092,0.1,1,-0.222916667,-0.5,-0.05,0.3,0.1,0.2,0.1,L
10,413,0.606435642,0.999999996,0.728571426,6,1,13,0,4.702179177,6,217,598,469.3333333,0,17100,3833.333333,0,1953.144444,707.2407407,527,527,527,0.033381668,0.409319308,0.033333752,0.490631401,0.033333871,0.446548392,0.156425866,0.041162228,0.012106538,0.772727273,0.227272727,0.344652406,0.033333333,0.8,-0.408333333,-0.7,-0.125,0.066666667,0.033333333,0.433333333,0.033333333,L
9,759,0.498666666,0.999999998,0.692810456,17,9,1,0,4.657444005,6,217,690,444,0,17100,3498.333333,0,1953.144444,649.6074074,767,6800,2989,0.866360651,0.03340673,0.033352581,0.033380815,0.033499222,0.601256841,0.10764008,0.040843215,0.009222661,0.815789474,0.184210526,0.283895406,0.033333333,0.7,-0.349404762,-0.5,-0.2,0,0,0.5,0,L
7,1174,0.45790378,0.999999999,0.653791129,32,0,1,0,4.637989779,8,217,761,517,0,17100,3932.625,0,4151,858.1430556,0,0,0,0.148105207,0.158203278,0.025093602,0.643597124,0.025000789,0.460383896,0.047830196,0.038330494,0.028109029,0.576923077,0.423076923,0.376352814,0.0625,1,-0.34983165,-1,-0.075,0,0,0.5,0,L
9,825,0.438036809,0.999999998,0.556797019,23,21,19,0,4.736969697,10,217,1200,482.1666667,0,17100,9560,0,5428.571429,1775.371964,545,16000,3151.157895,0.020054856,0.520756024,0.020019421,0.119150879,0.32001882,0.52453824,0.302715969,0.087272727,0.016969697,0.837209302,0.162790698,0.43040885,0.1,1,-0.210119048,-0.5,-0.05,0.5,0.25,0,0.25,L
6,1125,0.427787934,0.999999999,0.549450549,36,30,19,0,4.710222222,10,217,1200,428.625,0,17100,9595.6,0,5428.571429,1740.779797,545,16000,2744.375,0.020089558,0.413862516,0.020045003,0.02032709,0.525675834,0.494428662,0.275997249,0.064,0.015111111,0.808988764,0.191011236,0.422391174,0.1,1,-0.18732493,-0.5,-0.05,0,0,0.5,0,L
11,825,0.476600985,0.999999998,0.711790391,5,3,10,1,4.419393939,8,217,10000,2818,0,17100,8937.5,0,11800,3987.422817,4200,5800,5000,0.154913687,0.025116684,0.025057707,0.769840842,0.025071081,0.46053228,0.152174479,0.038787879,0.015757576,0.711111111,0.288888889,0.4440625,0.1,1,-0.320833333,-1,-0.033333333,1,0.5,0.5,0.5,H
9,81,0.78749999,0.99999998,0.939999981,2,1,0,0,4.518518519,8,217,711,394.2857143,0,17100,9376.375,0,2011.392857,1334.269974,0,0,0,0.053818725,0.508165058,0.025307344,0.025389231,0.387319643,0.4,0.016666667,0.024691358,0.012345679,0.666666667,0.333333333,0.15,0.1,0.2,-0.2,-0.2,-0.2,0,0,0.5,0,L
9,100,0.759999992,0.999999984,0.803278675,3,2,1,0,4.45,6,217,690,416.6666667,0,17100,4933.333333,0,2322.5,1071.707407,1800,1800,1800,0.035572011,0.033360042,0.618570226,0.033656675,0.278841047,0.338221501,0.086724387,0.07,0,1,0,0.161478046,0.033333333,0.35,0,0,0,0.428571429,0.214285714,0.071428571,0.214285714,H
10,254,0.627530362,0.999999994,0.697142853,5,1,0,3,4.625984252,10,217,2100,846.2,0,17100,4110,0,8566.666667,1447.144444,5400,5400,5400,0.020000264,0.644623988,0.020000223,0.295375361,0.020000165,0.391666667,0.109259259,0.019685039,0.007874016,0.714285714,0.285714286,0.31,0.1,1,-0.283333333,-0.4,-0.166666667,0.6,0.5,0.1,0.5,H
9,231,0.635964909,0.999999992,0.826446274,1,1,0,0,4.168831169,10,217,819,394.1111111,0,17100,8880,0,2239.333333,1442.883312,0,0,0,0.020023172,0.529806965,0.020027544,0.020043568,0.410098751,0.467346939,0.009693878,0.021645022,0.012987013,0.625,0.375,0.3,0.1,0.5,-0.326190476,-0.4,-0.178571429,0,0,0.5,0,L
12,537,0.538175046,0.999999997,0.742038214,2,0,1,0,4.983240223,6,217,504,427.75,0,17100,3766.666667,0,1953.144444,855.0145503,0,0,0,0.033333696,0.033333394,0.866663274,0.033333409,0.033336227,0.465329145,0.039830369,0.029795158,0.018621974,0.615384615,0.384615385,0.334564394,0.1,0.8,-0.317083333,-0.5,-0.1,0.7,-0.4,0.2,0.4,L
12,1455,0.419825073,0.999999999,0.55198285,31,0,26,0,4.710652921,5,217,598,491.2,1500,17100,7040,823.1428571,4151,1746.20746,0,0,0,0.040000202,0.04003574,0.439940296,0.44002091,0.040002852,0.251447164,0.012645688,0.01443299,0.008247423,0.636363636,0.363636364,0.333874459,0.1,1,-0.33125,-1,-0.05,0,0,0.5,0,L
10,424,0.552567236,0.999999996,0.676470586,8,0,1,0,4.981132075,6,217,425,321,0,17100,3383.333333,0,1953.144444,534.6074074,0,0,0,0.866661725,0.033335313,0.033334634,0.033334279,0.03333405,0.442024379,0.222654363,0.073113208,0.002358491,0.96875,0.03125,0.297124703,0.033333333,0.75,-0.25,-0.25,-0.25,0.5,0.136363636,0,0.136363636,L
10,138,0.753731338,0.999999989,0.816091945,1,1,0,1,4.65942029,6,217,10000,2818,0,17100,11916.66667,0,11800,5316.563757,0,0,0,0.033396208,0.218389892,0.033355042,0.681521042,0.033337816,0.495238095,0.073809524,0.014492754,0.028985507,0.333333333,0.666666667,0.85,0.7,1,-0.295833333,-0.4,-0.05,0,0,0.5,0,L
11,459,0.563192903,0.999999996,0.737226275,10,0,1,0,4.810457516,7,217,1200,568.2,0,17100,3246.428571,0,1953.144444,847.4206349,0,0,0,0.171559513,0.028573475,0.742722229,0.028571869,0.028572914,0.378437324,0.109175607,0.043572985,0.019607843,0.689655172,0.310344828,0.366520563,0.1,0.7,-0.234259259,-0.6,-0.05,0,0,0.5,0,H
10,614,0.530578512,0.999999997,0.749999998,11,2,1,0,4.75732899,4,217,598,451.25,1500,17100,5475,823.1428571,1953.144444,1182.571825,2800,2800,2800,0.050000147,0.050000027,0.799996207,0.050000145,0.050003474,0.430985061,0.154479458,0.04723127,0.01465798,0.763157895,0.236842105,0.401498358,0.0625,1,-0.247222222,-0.5,-0.1,0,0,0.5,0,L
11,289,0.649122805,0.999999995,0.776699025,3,2,13,0,4.747404844,10,217,598,469.3333333,0,17100,2300,0,1953.144444,424.3444444,5000,5000,5000,0.020006093,0.478364629,0.02000365,0.376661338,0.10496429,0.440725579,0.0828722,0.038062284,0.017301038,0.6875,0.3125,0.364187328,0.1,0.6,-0.445,-0.7,-0.2,0,0,0.5,0,L
8,640,0.528481012,0.999999997,0.741666665,10,0,1,0,4.3125,9,217,573,417.3333333,0,17100,4044.444444,0,4151,927.0530864,0,0,0,0.022223195,0.599334662,0.022273101,0.124128489,0.232040553,0.424340048,0.106180537,0.0390625,0.0125,0.757575758,0.242424242,0.336735065,0.136363636,0.8,-0.269717262,-0.4,-0.178571429,0,0,0.5,0,L
9,330,0.501597442,0.999999995,0.584905658,12,2,1,0,4.657575758,7,217,819,451,0,17100,5500,0,2339.52,929.5234921,4700,4700,4700,0.448525795,0.316588588,0.028576466,0.028617344,0.177691807,0.354901961,0.088235294,0.036363636,0.012121212,0.75,0.25,0.366666667,0.1,0.5,-0.3125,-0.4,-0.2,0.333333333,0.25,0.166666667,0.25,L
9,230,0.669603521,0.999999992,0.878787872,7,0,1,1,4.795652174,7,217,710,479.25,0,17100,3015.714286,0,1953.144444,643.4696145,0,0,0,0.028572825,0.169824422,0.743627965,0.028572749,0.029402039,0.41577381,0.113839286,0.008695652,0.008695652,0.5,0.5,0.6875,0.375,1,-0.285714286,-0.5,-0.071428571,0,0,0.5,0,L
12,180,0.606936413,0.99999999,0.75247524,3,1,1,0,4.727777778,6,217,505,390.4,0,17100,6750.833333,0,2339.52,1245.471852,1200,1200,1200,0.274928168,0.033333761,0.033425819,0.033333972,0.62497828,0.546428571,0.067857143,0.038888889,0.005555556,0.875,0.125,0.364285714,0.1,1,-0.1,-0.1,-0.1,0.5,0.5,0,0.5,L
11,277,0.4501845,0.999999995,0.49473684,34,3,15,0,4.494584838,10,217,761,594.4,0,17100,2437.2,0,1953.144444,580.3444444,384,4600,3061.333333,0.020422593,0.448989741,0.020079638,0.490505787,0.020002241,0.483901515,-0.114725379,0.010830325,0.018050542,0.375,0.625,0.253787879,0.136363636,0.375,-0.348333333,-0.8,-0.166666667,0,0,0.5,0,H
11,365,0.581267216,0.999999996,0.742358075,9,8,1,0,4.695890411,7,217,504,427.75,0,17100,3228.571429,0,1953.144444,732.8696145,317,5400,1740.5,0.028847387,0.02857512,0.884346479,0.028572063,0.029658951,0.447603587,0.093073593,0.032876712,0.01369863,0.705882353,0.294117647,0.271338384,0.05,0.7,-0.25,-0.5,-0.05,0,0,0.5,0,L
14,114,0.799999993,0.999999986,0.874999988,1,1,0,1,4.815789474,9,217,10000,2182.285714,0,17100,8588.888889,0,11800,3862.653616,0,0,0,0.141439205,0.29436603,0.022245331,0.51971926,0.022230174,0.578571429,0.008333333,0.052631579,0.043859649,0.545454545,0.454545455,0.3,0.05,0.8,-0.54,-1,-0.3,1,0.25,0.5,0.25,H
12,246,0.702127657,0.999999993,0.849673197,8,3,1,0,4.43902439,6,217,1000,486.6,0,28000,10400,0,2432.111111,1544.862071,4300,20700,12500,0.033340113,0.534850856,0.364809559,0.033460006,0.033539467,0.644372294,0.081601732,0.040650407,0.028455285,0.588235294,0.411764706,0.374242424,0.136363636,0.8,-0.452380952,-1,-0.166666667,0,0,0.5,0,L
7,175,0.685714282,0.999999991,0.823008842,4,0,1,0,5.497142857,7,217,1000,465.5,0,28000,5957.142857,0,2240.536313,924.2615368,0,0,0,0.02866955,0.028579857,0.170331216,0.238095759,0.534323619,0.364454545,0.177136364,0.045714286,0.005714286,0.888888889,0.111111111,0.271420455,0.1,0.7,-0.166666667,-0.166666667,-0.166666667,0,0,0.5,0,L
6,1160,0.437225636,0.999999999,0.565159574,45,38,19,0,4.740517241,10,217,302,254.7777778,0,28000,12450,0,3582.65,1554.658473,302,16000,2593.04,0.020103044,0.360180899,0.020048073,0.020378968,0.579289016,0.498341579,0.244290456,0.062931034,0.017241379,0.784946237,0.215053763,0.421399514,0.1,1,-0.21,-0.5,-0.05,0,0,0.5,0,L
13,577,0.411867364,0.999999997,0.552870089,16,7,11,0,4.447140381,10,217,1200,448.7,711,28000,13981.1,658.6666667,7500,2482.029893,67700,67700,67700,0.020887004,0.79882136,0.020151293,0.020225037,0.139915306,0.462200436,0.162509903,0.055459272,0.012131716,0.820512821,0.179487179,0.318158144,0.033333333,0.8,-0.227579365,-0.6,-0.1,0.6,0.5,0.1,0.5,L
7,505,0.440677965,0.999999997,0.529968453,12,5,6,0,4.308910891,6,217,1000,549.5,0,28000,8866.666667,0,2432.111111,1212.941237,988,18000,5772,0.03333376,0.033966864,0.033334003,0.866031788,0.033333585,0.396029986,0.230485825,0.045544554,0.001980198,0.958333333,0.041666667,0.411137775,0.136363636,0.85,-0.1,-0.1,-0.1,0,0,0.5,0,H
8,255,0.623015871,0.999999993,0.766666662,6,1,1,0,4.415686275,5,217,575,422.75,0,28000,7260,0,2240.536313,1325.216786,0,0,0,0.839899486,0.040000591,0.040075078,0.040000257,0.040024588,0.497399892,0.010121753,0.035294118,0.023529412,0.6,0.4,0.1628367,0.05,0.5,-0.210515873,-0.5,-0.025,0.454545455,0.136363636,0.045454545,0.136363636,L
9,757,0.44919786,0.999999998,0.634032633,11,0,1,0,4.554821664,7,217,1200,550.5,0,28000,7200,0,2240.536313,1059.748045,0,0,0,0.028571955,0.028571827,0.885712017,0.028571647,0.028572553,0.546999963,0.192779368,0.046235139,0.011889036,0.795454545,0.204545455,0.381821274,0.1,1,-0.227380952,-0.5,-0.071428571,0,0,0.5,0,L
8,767,0.440318302,0.999999998,0.614318705,6,2,10,0,4.47327249,8,217,690,455.5,0,28000,8562.5,0,3699.6,1755.086455,3100,3100,3100,0.025435588,0.025035356,0.025077359,0.025138832,0.899312864,0.487274531,0.098335137,0.036505867,0.019556714,0.651162791,0.348837209,0.420539579,0.05,0.9,-0.258333333,-0.5,-0.05,0,0,0.5,0,H
9,174,0.619883037,0.99999999,0.749999993,8,5,1,0,4.5,9,217,1900,767,0,28000,7253.666667,0,2692.75,1616.768557,1800,1800,1800,0.022262573,0.022349251,0.022222803,0.022303143,0.910862231,0.292016317,0.05247669,0.022988506,0.022988506,0.5,0.5,0.242424242,0.1,0.433333333,-0.071875,-0.1875,-0.033333333,0,-0.033333333,0.5,0.033333333,H
11,159,0.759493666,0.99999999,0.895833324,9,0,1,0,4.893081761,7,217,417,337,0,28000,6971.428571,0,2898.909091,1063.182677,0,0,0,0.028582151,0.028636681,0.460635457,0.172199731,0.30994598,0.55625,0.240625,0.044025157,0.018867925,0.7,0.3,0.339285714,0.1,0.6,-0.168518519,-0.25,-0.1,0,0,0.5,0,L
8,344,0.563049852,0.999999995,0.692682923,14,7,1,0,4.840116279,10,217,971,573,0,28000,4320,0,2692.75,824.4636313,1500,3300,2333.333333,0.47954025,0.020027166,0.139694413,0.020031861,0.34070631,0.547159091,0.118418561,0.020348837,0.01744186,0.538461538,0.461538462,0.519480519,0.136363636,0.9,-0.340277778,-0.6,-0.25,0,0.1,0.5,0.1,H
16,487,0.519587628,0.999999996,0.710247347,6,3,1,0,4.480492813,4,217,425,321,0,28000,7800,0,2240.536313,887.895983,1100,1500,1300,0.798645861,0.050990217,0.050355861,0.050007813,0.050000247,0.46623076,0.143272006,0.032854209,0.012320329,0.727272727,0.272727273,0.419237013,0.05,0.8,-0.258333333,-0.7,-0.05,0,0,0.5,0,L
12,213,0.647887321,0.999999991,0.874999992,2,0,0,1,4.20657277,5,217,417,319.25,0,28000,12240,0,3582.65,2194.179081,0,0,0,0.040080454,0.040138193,0.040027602,0.839738188,0.040015563,0.588461538,0.299759615,0.042253521,0.018779343,0.692307692,0.307692308,0.458333333,0.2,1,-0.209375,-0.5,-0.05,0.95,0.7,0.45,0.7,H
11,180,0.655367228,0.99999999,0.80198019,2,1,1,1,4.272222222,7,217,343,238,0,28000,14871.42857,0,2240.536313,1496.577884,0,0,0,0.028784095,0.193244358,0.028654944,0.028571946,0.720744656,0.420867769,0.157644628,0.044444444,0.005555556,0.888888889,0.111111111,0.232386364,0.1,0.5,-0.125,-0.125,-0.125,0.5,0.136363636,0,0.136363636,L
12,344,0.551319646,0.999999995,0.70833333,2,0,1,0,4.755813953,6,217,552,417,0,28000,6483.333333,0,2240.536313,1237.763989,0,0,0,0.700249948,0.033338319,0.033351785,0.03333628,0.199723668,0.328571429,0.11011078,0.031976744,0.020348837,0.611111111,0.388888889,0.380519481,0.2,0.7,-0.227579365,-0.4,-0.05,0,0,0.5,0,L
13,140,0.7867647,0.999999987,0.935897424,2,1,0,0,4.207142857,10,217,1000,572.75,0,28000,14970,0,5457.142857,2873.258039,2700,2700,2700,0.02004843,0.919398069,0.020011866,0.020412471,0.020129164,0.621717172,0.195454545,0.042857143,0.014285714,0.75,0.25,0.491666667,0.1,0.8,-0.4,-0.6,-0.2,0.8,-0.6,0.3,0.6,H
12,341,0.498470946,0.999999995,0.601809952,4,1,1,1,4.671554252,10,217,1000,549.5,0,28000,7830,0,3685.714286,1181.615182,7500,7500,7500,0.020003111,0.020328092,0.020002017,0.919665334,0.020001446,0.441503268,0.226143791,0.029325513,0.002932551,0.909090909,0.090909091,0.4,0.1,0.5,-0.155555556,-0.155555556,-0.155555556,0,0,0.5,0,H
